NEAT Training Report
====================

Gen | BestFitness | MeanFitness | StdFitness | Species
   0 |     7.9120 |     0.3292 |     1.4455 | 1
   1 |    11.7861 |     1.7863 |     2.0214 | 1
   2 |    38.2677 |     1.9276 |     4.4060 | 1
   3 |    90.1032 |     3.6949 |    10.2985 | 1
   4 |     8.4900 |     1.7669 |     2.3182 | 1
   5 |     2.5398 |     0.9642 |     0.6767 | 1
   6 |    25.8851 |     1.4043 |     3.4220 | 1
   7 |    87.9870 |     3.0127 |     9.7686 | 1
   8 |     4.3850 |     0.4260 |     0.6247 | 1
   9 |    92.5840 |     4.9139 |    14.4347 | 1
  10 |    82.5697 |     3.5013 |    12.0549 | 1
  11 |    16.3886 |     1.5100 |     2.5108 | 1
  12 |    14.1774 |     1.5247 |     3.4471 | 1
  13 |    98.2319 |     8.6121 |    21.5376 | 1
  14 |    34.1482 |     7.6221 |    10.1522 | 1
